id,title,miaosu,user,column,touxiang,link
108764950,“独角兽”会成为“毒角兽”？,关于这类产品各路大V已经解读了很多，同时出现了许多不一样的声音。这是一个好的现象，相反当市场中一致性预期太强烈时要注意风险，理性的探讨总比盲目的一致性好。 什么是“独角兽”基金？ 什么是CDR? 关于“独角兽”基金的几个关键点： 1.关于“独角兽”基金的一个重中之重的问题在于基金的拿货...,西西里少尉,基金,"community/20185/1528686023992-1528686024304.jpg,community/20185/1528686023992-1528686024304.jpg!180x180.png,community/20185/1528686023992-1528686024304.jpg!50x50.png,community/20185/1528686023992-1528686024304.jpg!30x30.png",/3617034306/108764950
id,title,miaosu,user,column,touxiang,link
108764895,再谈谈抖音做社交,"一个月前写过一个帖子《抖音真的没有可能做社交和通讯？》<a href=""https://xueqiu.com/7607677791/106917765"" title=""https://xueqiu.com/7607677791/106917765"" target=""_blank"" class=""status-link"">网页链接</a>当时探讨抖音做社交甚至即时通讯的可能，看到了很多建设性的观点，但大家总体还是觉得可能性比较小，特别是能做成功的可能性几乎没有。我们现在回头看下一个月之后的抖音。 下图中是一个抖音的首...",秃鹫投资,港股,"community/20173/1493135558964-1493135559348.jpg,community/20173/1493135558964-1493135559348.jpg!180x180.png,community/20173/1493135558964-1493135559348.jpg!50x50.png,community/20173/1493135558964-1493135559348.jpg!30x30.png",/7607677791/108764895
id,title,miaosu,user,column,touxiang,link
108763964,微视陷拖薪负面，腾讯两度进军短视频之难,【摘要】分析认为，当前短视频行业在整体移动互联网用户中渗透率较低，未来1、2年将持续增长。随着用户红利的逐渐结束，真正的市场竞争才开始。 文 | 时代财经 张锐 日前，腾讯旗下短视频平台微视被指拖欠工资，多名微视达人“在线维权”。随后，腾讯官方发布声明澄清4月补贴已于6月2日结算，部分...,时代商见,港股,"community/20174/1495095933068-1495095950304.jpg,community/20174/1495095933068-1495095950304.jpg!180x180.png,community/20174/1495095933068-1495095950304.jpg!50x50.png,community/20174/1495095933068-1495095950304.jpg!30x30.png",/8342237182/108763964
id,title,miaosu,user,column,touxiang,link
108761678,房企销售业绩破3000亿！有多少购房者相信房价还能再往上涨？,今年一月到五月份房企的销售数据出来了，其中大房企的销售业绩纷纷有所增长，甚至有破3000亿的情况。房企前100名销售总体规则则突破了3.47亿，同比增长33.5%。数据一目了然，房市真的降温了吗？ 不管房市降温没降温，永远都是有人在买房的。 实际上，现在不被看好的房子主要是建在经济发展一般，...,诸葛找房,房产,"community/20176/1499939095323-1499939098624.jpeg,community/20176/1499939095323-1499939098624.jpeg!180x180.png,community/20176/1499939095323-1499939098624.jpeg!50x50.png,community/20176/1499939095323-1499939098624.jpeg!30x30.png",/4590929237/108761678
id,title,miaosu,user,column,touxiang,link
108758706,为什么不要购买加杠杆ETF和反向ETF？,随着ETF市场的越来越发达，各种不同的ETF品种也层出不穷。最近几年，受到关注比较多的，比较不同寻常的ETF品种包括：加杠杆ETF（leveraged ETF）和反向ETF（Inverse ETF）。 今天这篇文章，就来为大家好好科普一下这方面的投资知识。 （1）加杠杆ETF 先来讲讲加杠杆ETF。 在充分理解加杠杆ETF之前...,华夏沪深300ETF,基金,"community/20178/1504492844712-1504492850737.jpg,community/20178/1504492844712-1504492850737.jpg!180x180.png,community/20178/1504492844712-1504492850737.jpg!50x50.png,community/20178/1504492844712-1504492850737.jpg!30x30.png",/3951090421/108758706
id,title,miaosu,user,column,touxiang,link
